0,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,,,,,,,,,,,,,,
3,TRUE,mp-705417,Fe11O12,Triclinic,P-1,2,23,0.04960230413,-1.479488036,FALSE,248.9952842,5.377099391,1.3876,FALSE,FALSE,FM,45.9993484,,,,,,,,,,,,,,
4,TRUE,mp-764326,Fe12O13,Trigonal,R-3,148,25,0.0831451558,-1.441967399,FALSE,267.675773,5.447533811,0,FALSE,TRUE,FM,50.0000002,,,,,,,,,,,,,,
5,TRUE,mp-705414,Fe13O14,Trigonal,R-3,148,27,0.0718792887,-1.449844783,FALSE,288.4021206,5.469700616,0,FALSE,TRUE,FM,52.0000002,,,,,,,,,,,,,,
6,TRUE,mp-756693,Fe13O15,Triclinic,P-1,2,28,0.07782318607,-1.483231497,FALSE,303.6833894,5.281951339,0.9051,FALSE,FALSE,FM,55.9998537,,,,,,,,,,,,,,
7,FALSE,mp-1195927,Fe13O19,Monoclinic,C2/m,12,32,0.3025258045,-1.388472084,FALSE,312.8901442,5.466172177,0,FALSE,TRUE,FM,63.9994706,,,,,,,,,,,,,,
8,TRUE,mp-764417,Fe14O15,Tetragonal,I4/m,87,29,0.05889862086,-1.459904344,FALSE,306.511249,5.535763191,0.6051,FALSE,FALSE,FM,58.000045,,,,,,,,,,,,,,
9,TRUE,mp-1224936,Fe15O16,Trigonal,R-3m,166,31,0.08401634242,-1.432242433,FALSE,344.0009897,5.279270051,1.4826,TRUE,FALSE,FM,61.9995819,,,,,,,,,,,,,,
10,TRUE,mp-705551,Fe15O16,Triclinic,P1,1,31,0.07691624242,-1.439342533,FALSE,343.1714674,5.292031229,0.6044,FALSE,FALSE,FM,61.9995939,,,,,,,,,,,,,,
11,TRUE,mp-705424,Fe17O18,Triclinic,P-1,2,35,0.04019917786,-1.471843512,FALSE,377.9556722,5.436285627,1.2205,FALSE,FALSE,FM,69.9996337,,,,,,,,,,,,,,
12,TRUE,mp-706875,Fe21O23,Triclinic,P1,1,44,0.05311943955,-1.478231005,FALSE,474.7232024,5.389339169,1.3487,FALSE,FALSE,FM,87.9997113,,,,,,,,,,,,,,
13,TRUE,mp-530048,Fe21O32,Trigonal,R32,155,53,0.1947443172,-1.493685125,FALSE,570.0575743,4.907492039,0,FALSE,TRUE,FM,104.0015608,,,,,,,,,,,,,,
14,TRUE,mp-705553,Fe23O25,Triclinic,P-1,2,48,0.05026107021,-1.476757507,FALSE,516.4686558,5.415711454,0.9117,FALSE,FALSE,FM,95.9999958,,,,,,,,,,,,,,
15,TRUE,mp-774295,Fe23O32,Trigonal,R-3m,166,55,0.1882318863,-1.476970681,FALSE,576.5993794,5.173468308,0.0096,TRUE,FALSE,FM,109.9999628,,,,,,,,,,,,,,
16,TRUE,mp-776135,Fe23O32,Triclinic,P1,1,55,0.1086939565,-1.556508611,FALSE,601.9133049,4.955894132,0.2974,FALSE,FALSE,FM,109.9999342,,,,,,,,,,,,,,
17,TRUE,mp-1194978,Fe25O32,Orthorhombic,Amm2,38,57,0.1852688757,-1.434542874,FALSE,578.6279416,5.475857622,0,FALSE,TRUE,FM,113.9989929,,,,,,,,,,,,,,
18,TRUE,mp-1068212,Fe2O3,Cubic,Pm-3m,221,5,0.859609612,-0.8449001105,FALSE,54.37584283,4.876586381,0,FALSE,TRUE,FM,8.5502378,,,,,,,,,,,,,,
19,FALSE,mp-1078361,Fe2O3,Orthorhombic,Cmcm,63,10,0.236450749,-1.468058973,FALSE,100.0463746,5.300911613,0,FALSE,TRUE,FM,20.0005473,,,,,,,,,,,,,,
20,TRUE,mp-1178392,Fe2O3,Orthorhombic,Pbca,61,40,0.1128551132,-1.591654609,FALSE,420.3312717,5.046847807,0.0095,TRUE,TRUE,FM,80.0012316,,,,,,,,,,,,,,
21,TRUE,mp-1181824,Fe2O3,Monoclinic,C2/c,15,10,0.168126509,-1.536383213,FALSE,147.9870645,3.583671254,1.6877,FALSE,FALSE,FM,19.9999811,,,,,,,,,,,,,,
22,TRUE,mp-1205415,Fe2O3,Orthorhombic,Pnma,62,20,0.1773435665,-1.527166156,FALSE,206.1651389,5.144778521,1.0606,TRUE,FALSE,FM,40.0131273,,,,,,,,,,,,,,
29,TRUE,mp-1245277,Fe2O3,Triclinic,P1,1,80,0.3442948991,-1.360214823,FALSE,1088.465676,3.897868355,0.3018,TRUE,FALSE,FM,158.0001108,,,,,,,,,,,,,,
30,TRUE,mp-1356129,Fe2O3,Orthorhombic,I2_12_12_1,24,40,0.0846590095,-1.619850713,FALSE,429.6896489,4.936930555,1.3134,TRUE,FALSE,FM,80.0000003,,,,,,,,,,,,,,
31,TRUE,mp-1378486,Fe2O3,Orthorhombic,Cmcm,63,20,0.2751734195,-1.429336303,FALSE,238.1208967,4.454350681,0.5554,TRUE,FALSE,FM,40.003833,,,,,,,,,,,,,,
32,FALSE,mp-1456,Fe2O3,Tetragonal,P4_12_12,92,160,0.1193598812,-1.585149841,FALSE,1860.082689,4.561835814,1.5673,FALSE,FALSE,FM,320.043733,,,,,,,,,,,,,,
33,FALSE,mp-19770,Fe2O3,Trigonal,R-3c,167,10,0,-1.704509722,TRUE,103.110753,5.143372283,0,FALSE,TRUE,FM,19.9980745,,,,,,,,,,,,,19.86969152,13.65631208
34,FALSE,mp-510080,Fe2O3,Orthorhombic,Pbcn,60,20,0.1307212055,-1.573788517,FALSE,207.248051,5.117896035,1.3095,TRUE,FALSE,FM,40.0000002,,,,,,,,,,,,,,
35,FALSE,mp-542896,Fe2O3,Orthorhombic,Pna2_1,33,40,0.1158445845,-1.588665138,FALSE,448.0164027,4.734978326,1.5251,TRUE,FALSE,FM,80.0033701,,,,,,,,,,,,,,
36,FALSE,mp-557546,Fe2O3,Trigonal,P3,143,30,0.5277969853,-1.176712737,FALSE,384.8006778,4.134636604,0,FALSE,TRUE,FM,55.133446,,,,,,,,,,,,,,
37,FALSE,mp-565814,Fe2O3,Cubic,Ia-3,206,40,0.07129889575,-1.633210827,FALSE,436.3288912,4.861809519,1.3902,TRUE,FALSE,FM,79.9999999,,,,,,,,,,,,,,
39,TRUE,mp-705547,Fe2O3,Monoclinic,Cm,8,40,0.1598529317,-1.544656791,FALSE,454.8702271,4.66363334,0.5861,TRUE,FALSE,FM,80.002256,,,,,,,,,,,,,,
40,TRUE,mp-715276,Fe2O3,Orthorhombic,Pna2_1,33,20,0.085901862,-1.61860786,FALSE,204.3587158,5.190255644,1.5103,FALSE,FALSE,FiM,0,,,,,,,,,,,,,,
41,TRUE,mp-715572,Fe2O3,Monoclinic,C2,5,40,0.07717755075,-1.627332172,FALSE,409.0275494,5.18632048,1.3465,TRUE,FALSE,FiM,0.1482395,,,,,,,,,,,,,,
42,TRUE,mp-716814,Fe2O3,Trigonal,P3,143,30,0.5030479953,-1.201461727,FALSE,372.2786017,4.273710495,0,FALSE,TRUE,FiM,52.0000046,,,,,,,,,,,,,,
44,TRUE,mp-1147691,Fe2O5,Triclinic,P-1,2,28,0.3757995979,-0.8417073468,FALSE,287.2863301,4.431867704,0,FALSE,TRUE,FiM,24.0017402,,,,,,,,,,,,,,
45,TRUE,mp-863766,Fe32O35,Triclinic,P1,1,67,0.05761522142,-1.472959366,FALSE,732.2937949,5.322067136,0.5079,FALSE,FALSE,FM,133.9965149,,,,,,,,,,,,,,
46,TRUE,mp-694910,Fe35O36,Triclinic,P1,1,71,0.7836108636,-0.7118643927,FALSE,751.1078958,5.594512858,0.2105,FALSE,FALSE,FiM,1.9737034,,,,,,,,,,,,,,
